datetime,predicted_consumption,day,hour,weekday
2025-09-29 22:00:00+00:00,35012.97115882253,2025-09-29,22,Monday
2025-09-29 22:15:00+00:00,35012.97115882253,2025-09-29,22,Monday
2025-09-29 22:30:00+00:00,35012.971158822525,2025-09-29,22,Monday
2025-09-29 22:45:00+00:00,35012.97115882253,2025-09-29,22,Monday
2025-09-29 23:00:00+00:00,34265.56310181988,2025-09-29,23,Monday
2025-09-29 23:15:00+00:00,34265.56310181988,2025-09-29,23,Monday
2025-09-29 23:30:00+00:00,34265.563101819884,2025-09-29,23,Monday
2025-09-29 23:45:00+00:00,34265.56310181989,2025-09-29,23,Monday
2025-09-30 00:00:00+00:00,36033.741245740835,2025-09-30,0,Tuesday
2025-09-30 00:15:00+00:00,36033.741245740835,2025-09-30,0,Tuesday
2025-09-30 00:30:00+00:00,36033.74124574085,2025-09-30,0,Tuesday
2025-09-30 00:45:00+00:00,36033.74124574085,2025-09-30,0,Tuesday
2025-09-30 01:00:00+00:00,36085.70821908558,2025-09-30,1,Tuesday
2025-09-30 01:15:00+00:00,36085.70821908559,2025-09-30,1,Tuesday
2025-09-30 01:30:00+00:00,36085.70821908558,2025-09-30,1,Tuesday
2025-09-30 01:45:00+00:00,36085.70821908558,2025-09-30,1,Tuesday
2025-09-30 02:00:00+00:00,36048.808629228595,2025-09-30,2,Tuesday
2025-09-30 02:15:00+00:00,36048.8086292286,2025-09-30,2,Tuesday
2025-09-30 02:30:00+00:00,36048.8086292286,2025-09-30,2,Tuesday
2025-09-30 02:45:00+00:00,36048.8086292286,2025-09-30,2,Tuesday
2025-09-30 03:00:00+00:00,36212.85959821193,2025-09-30,3,Tuesday
2025-09-30 03:15:00+00:00,36212.85959821194,2025-09-30,3,Tuesday
2025-09-30 03:30:00+00:00,36212.85959821192,2025-09-30,3,Tuesday
2025-09-30 03:45:00+00:00,36212.85959821194,2025-09-30,3,Tuesday
2025-09-30 04:00:00+00:00,37789.239030497636,2025-09-30,4,Tuesday
2025-09-30 04:15:00+00:00,37789.23903049765,2025-09-30,4,Tuesday
2025-09-30 04:30:00+00:00,37789.239030497636,2025-09-30,4,Tuesday
2025-09-30 04:45:00+00:00,37789.23903049764,2025-09-30,4,Tuesday
2025-09-30 05:00:00+00:00,42540.86515834269,2025-09-30,5,Tuesday
2025-09-30 05:15:00+00:00,42540.86515834268,2025-09-30,5,Tuesday
2025-09-30 05:30:00+00:00,42540.86515834268,2025-09-30,5,Tuesday
2025-09-30 05:45:00+00:00,42540.86515834268,2025-09-30,5,Tuesday
2025-09-30 06:00:00+00:00,42823.06578724385,2025-09-30,6,Tuesday
2025-09-30 06:15:00+00:00,42823.06578724386,2025-09-30,6,Tuesday
