datetime,predicted_15min,actual_15min,error,hour,date
2025-01-01 00:00:00,27907.29254523109,29701.865,1794.5724547689133,2025-01-01 00:00:00,2025-01-01
2025-01-01 00:15:00,28671.58650436511,29552.147,880.5604956348907,2025-01-01 00:00:00,2025-01-01
2025-01-01 00:30:00,28561.627566454223,29564.857,1003.2294335457773,2025-01-01 00:00:00,2025-01-01
2025-01-01 00:45:00,28130.283236155297,29311.014,1180.7307638447019,2025-01-01 00:00:00,2025-01-01
2025-01-01 01:00:00,27512.9357963738,29232.474,1719.538203626198,2025-01-01 01:00:00,2025-01-01
2025-01-01 01:15:00,27189.22202740687,30235.562,3046.3399725931304,2025-01-01 01:00:00,2025-01-01
2025-01-01 01:30:00,27065.420353335732,30236.44,3171.0196466642665,2025-01-01 01:00:00,2025-01-01
2025-01-01 01:45:00,26694.106057526413,29397.262,2703.155942473586,2025-01-01 01:00:00,2025-01-01
2025-01-01 02:00:00,27571.473395058412,29104.019,1532.545604941588,2025-01-01 02:00:00,2025-01-01
2025-01-01 02:15:00,27280.97516151197,28684.753,1403.7778384880294,2025-01-01 02:00:00,2025-01-01
2025-01-01 02:30:00,27413.32321798683,28238.784,825.4607820131714,2025-01-01 02:00:00,2025-01-01
2025-01-01 02:45:00,27571.473395058412,28048.652,477.17860494158595,2025-01-01 02:00:00,2025-01-01
2025-01-01 03:00:00,29347.79126439092,27671.354,-1676.4372643909192,2025-01-01 03:00:00,2025-01-01
2025-01-01 03:15:00,29524.41239795919,27498.341,-2026.0713979591892,2025-01-01 03:00:00,2025-01-01
2025-01-01 03:30:00,29837.34522425159,27164.6,-2672.74522425159,2025-01-01 03:00:00,2025-01-01
2025-01-01 03:45:00,29937.87721419213,27091.051,-2846.8262141921296,2025-01-01 03:00:00,2025-01-01
2025-01-01 04:00:00,33432.34739801554,27060.029,-6372.318398015541,2025-01-01 04:00:00,2025-01-01
2025-01-01 04:15:00,34418.34822926574,27007.818,-7410.530229265743,2025-01-01 04:00:00,2025-01-01
2025-01-01 04:30:00,35539.5221393746,27134.256,-8405.266139374602,2025-01-01 04:00:00,2025-01-01
2025-01-01 04:45:00,36086.74119284114,27029.018,-9057.723192841138,2025-01-01 04:00:00,2025-01-01
2025-01-01 05:00:00,38061.01260000754,27505.459,-10555.55360000754,2025-01-01 05:00:00,2025-01-01
2025-01-01 05:15:00,38924.71436831642,27579.183,-11345.531368316417,2025-01-01 05:00:00,2025-01-01
2025-01-01 05:30:00,39218.56531239749,27908.625,-11309.940312397492,2025-01-01 05:00:00,2025-01-01
2025-01-01 05:45:00,39591.4986657456,27984.05,-11607.448665745604,2025-01-01 05:00:00,2025-01-01
2025-01-01 06:00:00,40434.13867254402,28513.064,-11921.074672544019,2025-01-01 06:00:00,2025-01-01
2025-01-01 06:15:00,40776.682894943835,28862.922,-11913.760894943836,2025-01-01 06:00:00,2025-01-01
2025-01-01 06:30:00,40853.02037479882,29032.894,-11820.12637479882,2025-01-01 06:00:00,2025-01-01
2025-01-01 06:45:00,41126.136126631056,29223.975,-11902.161126631057,2025-01-01 06:00:00,2025-01-01
2025-01-01 07:00:00,40851.783442109896,29506.562,-11345.221442109894,2025-01-01 07:00:00,2025-01-01
2025-01-01 07:15:00,41152.196232253016,29859.895,-11292.301232253016,2025-01-01 07:00:00,2025-01-01
2025-01-01 07:30:00,41202.4067839259,30138.029,-11064.377783925902,2025-01-01 07:00:00,2025-01-01
2025-01-01 07:45:00,41107.9306291637,30330.468,-10777.462629163696,2025-01-01 07:00:00,2025-01-01
2025-01-01 08:00:00,39733.4359918307,30032.357,-9701.078991830702,2025-01-01 08:00:00,2025-01-01
2025-01-01 08:15:00,40053.95294991256,30195.934,-9858.018949912555,2025-01-01 08:00:00,2025-01-01
2025-01-01 08:30:00,40053.95294991256,30404.686,-9649.266949912555,2025-01-01 08:00:00,2025-01-01
2025-01-01 08:45:00,40395.463399831264,30679.079,-9716.384399831262,2025-01-01 08:00:00,2025-01-01
2025-01-01 09:00:00,40477.54803364491,30808.35,-9669.198033644912,2025-01-01 09:00:00,2025-01-01
2025-01-01 09:15:00,40477.54803364491,31007.494,-9470.054033644912,2025-01-01 09:00:00,2025-01-01
2025-01-01 09:30:00,40477.54803364491,31097.494,-9380.054033644912,2025-01-01 09:00:00,2025-01-01
2025-01-01 09:45:00,40477.54803364491,31726.858,-8750.69003364491,2025-01-01 09:00:00,2025-01-01
2025-01-01 10:00:00,40399.08142250007,32071.583,-8327.498422500074,2025-01-01 10:00:00,2025-01-01
2025-01-01 10:15:00,40368.412810536705,32432.157,-7936.255810536706,2025-01-01 10:00:00,2025-01-01
2025-01-01 10:30:00,40127.65408392953,32763.983,-7363.6710839295265,2025-01-01 10:00:00,2025-01-01
2025-01-01 10:45:00,40144.472801856726,32732.283,-7412.189801856726,2025-01-01 10:00:00,2025-01-01
2025-01-01 11:00:00,39970.69742056961,32528.319,-7442.37842056961,2025-01-01 11:00:00,2025-01-01
2025-01-01 11:15:00,39987.51613849681,32503.696,-7483.820138496809,2025-01-01 11:00:00,2025-01-01
2025-01-01 11:30:00,40000.18343816606,32153.875,-7846.308438166059,2025-01-01 11:00:00,2025-01-01
2025-01-01 11:45:00,39668.4923744948,32235.444,-7433.048374494803,2025-01-01 11:00:00,2025-01-01
2025-01-01 12:00:00,38942.557559903915,32386.178,-6556.379559903915,2025-01-01 12:00:00,2025-01-01
2025-01-01 12:15:00,38942.557559903915,32264.055,-6678.5025599039145,2025-01-01 12:00:00,2025-01-01
2025-01-01 12:30:00,39062.52221792034,32665.634,-6396.888217920343,2025-01-01 12:00:00,2025-01-01
