hour,predicted_hourly,actual_hourly
2025-01-01 00:00:00,113270.78985220572,118129.883
2025-01-01 01:00:00,108461.68423464282,119101.738
2025-01-01 02:00:00,109837.24516961562,114076.208
2025-01-01 03:00:00,118647.42610079382,109425.34599999999
2025-01-01 04:00:00,139476.95895949702,108231.121
2025-01-01 05:00:00,155795.79094646705,110977.317
2025-01-01 06:00:00,163189.97806891773,115632.855
2025-01-01 07:00:00,164314.3170874525,119834.954
2025-01-01 08:00:00,160236.80529148708,121312.05600000001
2025-01-01 09:00:00,161910.19213457964,124640.196
2025-01-01 10:00:00,161039.62111882304,130000.006
2025-01-01 11:00:00,159626.88937172727,129421.334
2025-01-01 12:00:00,155890.1948976321,129774.446
2025-01-01 13:00:00,160231.84126657574,130741.649
2025-01-01 14:00:00,157931.64257164206,130561.187
2025-01-01 15:00:00,155684.88695750368,130816.155
2025-01-01 16:00:00,159001.65943397264,135412.089
2025-01-01 17:00:00,151554.56786155474,143621.536
2025-01-01 18:00:00,142167.35138159615,145877.818
2025-01-01 19:00:00,137202.36713278684,142125.649
2025-01-01 20:00:00,127823.20301957327,135130.231
2025-01-01 21:00:00,122404.35279740802,128665.018
2025-01-01 22:00:00,117428.68475326966,123613.787
2025-01-01 23:00:00,115015.15265766345,116609.299
2025-01-02 00:00:00,111965.41544786743,110503.765
2025-01-02 01:00:00,107202.22409666373,109412.193
2025-01-02 02:00:00,111966.00491497532,104988.023
2025-01-02 03:00:00,132084.03073756,102874.369
2025-01-02 04:00:00,164178.07173508932,105134.51000000001
2025-01-02 05:00:00,183225.02061314165,114282.689
2025-01-02 06:00:00,182123.94974748214,129499.788
2025-01-02 07:00:00,174602.9792894445,143833.81300000002
2025-01-02 08:00:00,168285.17648637661,152005.008
2025-01-02 09:00:00,174498.52310735287,157901.78
2025-01-02 10:00:00,171395.00225245437,157959.233
2025-01-02 11:00:00,166503.57770940245,162447.422
2025-01-02 12:00:00,162901.59985579652,165219.15899999999
2025-01-02 13:00:00,163727.26151470665,166175.538
2025-01-02 14:00:00,162101.69327843038,164487.557
2025-01-02 15:00:00,162361.4610225887,162923.299
2025-01-02 16:00:00,160612.69842616393,163991.679
2025-01-02 17:00:00,152530.13745247648,166214.62
2025-01-02 18:00:00,141903.01542964388,165176.995
2025-01-02 19:00:00,135002.47249645536,159415.234
2025-01-02 20:00:00,123363.81977290713,149856.301
2025-01-02 21:00:00,116785.82162134009,138839.941
2025-01-02 22:00:00,114458.4799367506,130077.163
2025-01-02 23:00:00,113332.61804623666,120915.875
2025-01-03 00:00:00,110643.9878877865,113093.884
2025-01-03 01:00:00,106067.08684900923,111585.558
2025-01-03 02:00:00,112800.22352613701,107013.842
2025-01-03 03:00:00,148766.73484991986,104377.8
2025-01-03 04:00:00,194286.22502196702,106022.461
2025-01-03 05:00:00,204226.3402036453,115017.789
2025-01-03 06:00:00,196849.50626234576,131153.415
2025-01-03 07:00:00,184152.8395506684,146042.2
2025-01-03 08:00:00,176496.49740927212,156034.847
2025-01-03 09:00:00,182626.48667438625,162935.059
2025-01-03 10:00:00,180140.31154399263,167082.90399999998
2025-01-03 11:00:00,174264.71973783948,167977.312
2025-01-03 12:00:00,167502.53751899893,166504.024
2025-01-03 13:00:00,167880.55611082702,165639.259
2025-01-03 14:00:00,166678.85466642518,164171.8
2025-01-03 15:00:00,166760.29250864644,162306.513
