feature,importance
hour_cos,0.5773015858534448
Lag_24h,0.16742339230739264
weekday_sin,0.09426483887373224
IstArbeitstag,0.07408172989527109
hour_sin,0.0565289437027151
weekday_cos,0.01280734199274717
month_cos,0.004444280321325909
Chilltemperatur_lag15,0.0037737128751363
Diffusstrahlung; Zehnminutenmittel_lag15,0.002881998586817965
month_sin,0.0022283581100910397
Globalstrahlung; Zehnminutenmittel_lag15,0.0017741712083231146
relative Luftfeuchtigkeit_lag15,0.0016099571885690217
IstSonntag,0.0005661602057506429
Sonnenscheindauer; Zehnminutensumme_lag15,0.00031352887868291585
