datetime,predicted_15min,actual_15min,error,hour,date
2025-01-01 00:00:00,28646.18018331992,29701.865,1055.684816680081,2025-01-01 00:00:00,2025-01-01
2025-01-01 00:15:00,28225.53352618335,29552.147,1326.613473816651,2025-01-01 00:00:00,2025-01-01
2025-01-01 00:30:00,27677.638346431,29564.857,1887.2186535690016,2025-01-01 00:00:00,2025-01-01
2025-01-01 00:45:00,27267.519616618894,29311.014,2043.4943833811049,2025-01-01 00:00:00,2025-01-01
2025-01-01 01:00:00,26272.79297561837,29232.474,2959.681024381629,2025-01-01 01:00:00,2025-01-01
2025-01-01 01:15:00,25772.67439825942,30235.562,4462.887601740582,2025-01-01 01:00:00,2025-01-01
2025-01-01 01:30:00,25356.9614942556,30236.44,4879.478505744399,2025-01-01 01:00:00,2025-01-01
2025-01-01 01:45:00,25113.733792698575,29397.262,4283.528207301424,2025-01-01 01:00:00,2025-01-01
2025-01-01 02:00:00,26171.839210827377,29104.019,2932.1797891726237,2025-01-01 02:00:00,2025-01-01
2025-01-01 02:15:00,26822.44800946449,28684.753,1862.304990535511,2025-01-01 02:00:00,2025-01-01
2025-01-01 02:30:00,27355.391790477177,28238.784,883.3922095228227,2025-01-01 02:00:00,2025-01-01
2025-01-01 02:45:00,27813.969692886065,28048.652,234.68230711393335,2025-01-01 02:00:00,2025-01-01
2025-01-01 03:00:00,30626.832301747665,27671.354,-2955.4783017476657,2025-01-01 03:00:00,2025-01-01
2025-01-01 03:15:00,33200.05185218063,27498.341,-5701.710852180629,2025-01-01 03:00:00,2025-01-01
2025-01-01 03:30:00,35018.239665377354,27164.6,-7853.639665377355,2025-01-01 03:00:00,2025-01-01
2025-01-01 03:45:00,36309.90399975753,27091.051,-9218.852999757532,2025-01-01 03:00:00,2025-01-01
2025-01-01 04:00:00,43173.096015195675,27060.029,-16113.067015195677,2025-01-01 04:00:00,2025-01-01
2025-01-01 04:15:00,45658.74321908591,27007.818,-18650.92521908591,2025-01-01 04:00:00,2025-01-01
2025-01-01 04:30:00,47007.79811321674,27134.256,-19873.54211321674,2025-01-01 04:00:00,2025-01-01
2025-01-01 04:45:00,47704.60619653388,27029.018,-20675.58819653388,2025-01-01 04:00:00,2025-01-01
2025-01-01 05:00:00,49954.73944079795,27505.459,-22449.280440797953,2025-01-01 05:00:00,2025-01-01
2025-01-01 05:15:00,51218.812147239674,27579.183,-23639.629147239673,2025-01-01 05:00:00,2025-01-01
2025-01-01 05:30:00,51975.99339884665,27908.625,-24067.36839884665,2025-01-01 05:00:00,2025-01-01
2025-01-01 05:45:00,52286.32331973166,27984.05,-24302.27331973166,2025-01-01 05:00:00,2025-01-01
2025-01-01 06:00:00,53147.243256987735,28513.064,-24634.179256987736,2025-01-01 06:00:00,2025-01-01
2025-01-01 06:15:00,53497.6254616841,28862.922,-24634.703461684105,2025-01-01 06:00:00,2025-01-01
2025-01-01 06:30:00,53729.58081103667,29032.894,-24696.68681103667,2025-01-01 06:00:00,2025-01-01
2025-01-01 06:45:00,53744.37328855072,29223.975,-24520.39828855072,2025-01-01 06:00:00,2025-01-01
2025-01-01 07:00:00,54858.27650332604,29506.562,-25351.714503326035,2025-01-01 07:00:00,2025-01-01
2025-01-01 07:15:00,55290.377068659305,29859.895,-25430.482068659305,2025-01-01 07:00:00,2025-01-01
2025-01-01 07:30:00,55378.25679707693,30138.029,-25240.227797076932,2025-01-01 07:00:00,2025-01-01
2025-01-01 07:45:00,55410.52453225817,30330.468,-25080.056532258168,2025-01-01 07:00:00,2025-01-01
2025-01-01 08:00:00,55685.98461387728,30032.357,-25653.627613877277,2025-01-01 08:00:00,2025-01-01
2025-01-01 08:15:00,55818.48993028402,30195.934,-25622.55593028402,2025-01-01 08:00:00,2025-01-01
2025-01-01 08:30:00,55911.800473327035,30404.686,-25507.114473327034,2025-01-01 08:00:00,2025-01-01
2025-01-01 08:45:00,55951.489914182464,30679.079,-25272.410914182463,2025-01-01 08:00:00,2025-01-01
2025-01-01 09:00:00,55614.03387962652,30808.35,-24805.683879626522,2025-01-01 09:00:00,2025-01-01
2025-01-01 09:15:00,55311.89721200021,31007.494,-24304.40321200021,2025-01-01 09:00:00,2025-01-01
2025-01-01 09:30:00,55039.0030907629,31097.494,-23941.5090907629,2025-01-01 09:00:00,2025-01-01
2025-01-01 09:45:00,54872.752439619886,31726.858,-23145.894439619886,2025-01-01 09:00:00,2025-01-01
2025-01-01 10:00:00,53991.026809705516,32071.583,-21919.443809705517,2025-01-01 10:00:00,2025-01-01
2025-01-01 10:15:00,53472.71923850072,32432.157,-21040.562238500723,2025-01-01 10:00:00,2025-01-01
2025-01-01 10:30:00,52933.35608949346,32763.983,-20169.373089493463,2025-01-01 10:00:00,2025-01-01
2025-01-01 10:45:00,52469.42184834295,32732.283,-19737.13884834295,2025-01-01 10:00:00,2025-01-01
2025-01-01 11:00:00,51113.23549714381,32528.319,-18584.91649714381,2025-01-01 11:00:00,2025-01-01
2025-01-01 11:15:00,50139.19605668466,32503.696,-17635.50005668466,2025-01-01 11:00:00,2025-01-01
2025-01-01 11:30:00,48986.52642649142,32153.875,-16832.651426491422,2025-01-01 11:00:00,2025-01-01
2025-01-01 11:45:00,48027.395568910004,32235.444,-15791.951568910004,2025-01-01 11:00:00,2025-01-01
2025-01-01 12:00:00,46923.09137872655,32386.178,-14536.913378726553,2025-01-01 12:00:00,2025-01-01
2025-01-01 12:15:00,45966.52982510221,32264.055,-13702.47482510221,2025-01-01 12:00:00,2025-01-01
2025-01-01 12:30:00,45014.22437465894,32665.634,-12348.59037465894,2025-01-01 12:00:00,2025-01-01
2025-01-01 12:45:00,44307.22441112566,32458.579,-11848.645411125657,2025-01-01 12:00:00,2025-01-01
2025-01-01 13:00:00,43639.36982123093,32635.706,-11003.663821230934,2025-01-01 13:00:00,2025-01-01
2025-01-01 13:15:00,43191.577288396475,32662.854,-10528.723288396475,2025-01-01 13:00:00,2025-01-01
2025-01-01 13:30:00,42843.88881972804,32911.866,-9932.022819728038,2025-01-01 13:00:00,2025-01-01
2025-01-01 13:45:00,42397.52609900983,32531.223,-9866.30309900983,2025-01-01 13:00:00,2025-01-01
2025-01-01 14:00:00,42463.623275663194,32284.048,-10179.575275663195,2025-01-01 14:00:00,2025-01-01
2025-01-01 14:15:00,42394.38774569398,32606.871,-9787.516745693982,2025-01-01 14:00:00,2025-01-01
2025-01-01 14:30:00,42338.4121922997,32824.413,-9513.9991922997,2025-01-01 14:00:00,2025-01-01
2025-01-01 14:45:00,42306.402990116025,32845.855,-9460.547990116022,2025-01-01 14:00:00,2025-01-01
2025-01-01 15:00:00,42829.66443824693,32496.974,-10332.690438246933,2025-01-01 15:00:00,2025-01-01
2025-01-01 15:15:00,43343.72760690948,32542.439,-10801.288606909482,2025-01-01 15:00:00,2025-01-01
2025-01-01 15:30:00,44079.79972334504,32737.645,-11342.154723345036,2025-01-01 15:00:00,2025-01-01
2025-01-01 15:45:00,44587.537420665736,33039.097,-11548.440420665735,2025-01-01 15:00:00,2025-01-01
2025-01-01 16:00:00,44654.25077573467,33457.667,-11196.583775734667,2025-01-01 16:00:00,2025-01-01
2025-01-01 16:15:00,44726.23712236922,33551.32,-11174.917122369217,2025-01-01 16:00:00,2025-01-01
2025-01-01 16:30:00,44875.34735142662,33892.884,-10982.463351426624,2025-01-01 16:00:00,2025-01-01
2025-01-01 16:45:00,44969.53022861187,34510.218,-10459.312228611867,2025-01-01 16:00:00,2025-01-01
2025-01-01 17:00:00,41972.541399505164,35009.335,-6963.206399505165,2025-01-01 17:00:00,2025-01-01
2025-01-01 17:15:00,39997.06106603529,35795.536,-4201.52506603529,2025-01-01 17:00:00,2025-01-01
2025-01-01 17:30:00,37819.856003020104,36263.738,-1556.1180030201067,2025-01-01 17:00:00,2025-01-01
2025-01-01 17:45:00,36376.45099300342,36552.927,176.47600699658506,2025-01-01 17:00:00,2025-01-01
2025-01-01 18:00:00,34364.84397839347,36520.988,2156.144021606531,2025-01-01 18:00:00,2025-01-01
2025-01-01 18:15:00,33448.27139485864,36737.222,3288.9506051413628,2025-01-01 18:00:00,2025-01-01
2025-01-01 18:30:00,32888.71697788086,36516.359,3627.6420221191365,2025-01-01 18:00:00,2025-01-01
2025-01-01 18:45:00,32664.360645549266,36103.249,3438.888354450737,2025-01-01 18:00:00,2025-01-01
2025-01-01 19:00:00,31951.69706206795,36034.459,4082.761937932053,2025-01-01 19:00:00,2025-01-01
2025-01-01 19:15:00,31517.693047818564,35793.038,4275.344952181436,2025-01-01 19:00:00,2025-01-01
2025-01-01 19:30:00,31146.407522314334,35361.385,4214.977477685668,2025-01-01 19:00:00,2025-01-01
2025-01-01 19:45:00,31117.42310513112,34936.767,3819.343894868878,2025-01-01 19:00:00,2025-01-01
2025-01-01 20:00:00,30489.04434932166,34541.233,4052.188650678341,2025-01-01 20:00:00,2025-01-01
2025-01-01 20:15:00,30110.409327520487,33878.493,3768.0836724795154,2025-01-01 20:00:00,2025-01-01
2025-01-01 20:30:00,29811.001274838123,33472.548,3661.5467251618793,2025-01-01 20:00:00,2025-01-01
2025-01-01 20:45:00,29643.053453364806,33237.957,3594.903546635196,2025-01-01 20:00:00,2025-01-01
2025-01-01 21:00:00,29068.252876761893,32882.547,3814.2941232381054,2025-01-01 21:00:00,2025-01-01
2025-01-01 21:15:00,28747.856146585164,32336.051,3588.194853414836,2025-01-01 21:00:00,2025-01-01
2025-01-01 21:30:00,28658.593784957855,32006.648,3348.054215042146,2025-01-01 21:00:00,2025-01-01
2025-01-01 21:45:00,28438.508960058356,31439.772,3001.263039941645,2025-01-01 21:00:00,2025-01-01
2025-01-01 22:00:00,27634.938850306968,31235.063,3600.1241496930306,2025-01-01 22:00:00,2025-01-01
2025-01-01 22:15:00,27279.360690881796,30823.401,3544.040309118205,2025-01-01 22:00:00,2025-01-01
2025-01-01 22:30:00,27054.336887049798,31108.874,4054.537112950202,2025-01-01 22:00:00,2025-01-01
2025-01-01 22:45:00,26952.549555253365,30446.449,3493.8994447466357,2025-01-01 22:00:00,2025-01-01
2025-01-01 23:00:00,26602.405263576442,29893.582,3291.1767364235566,2025-01-01 23:00:00,2025-01-01
2025-01-01 23:15:00,26383.14844115146,29340.602,2957.453558848538,2025-01-01 23:00:00,2025-01-01
2025-01-01 23:30:00,26158.23886039635,28953.462,2795.2231396036477,2025-01-01 23:00:00,2025-01-01
2025-01-01 23:45:00,25941.67691450861,28421.653,2479.9760854913875,2025-01-01 23:00:00,2025-01-01
2025-01-02 00:00:00,25655.601494547012,28209.879,2554.2775054529884,2025-01-02 00:00:00,2025-01-02
2025-01-02 00:15:00,25425.193303150634,27829.843,2404.6496968493666,2025-01-02 00:00:00,2025-01-02
2025-01-02 00:30:00,25158.419728740573,27493.335,2334.915271259426,2025-01-02 00:00:00,2025-01-02
2025-01-02 00:45:00,24948.251336334146,26970.708,2022.4566636658528,2025-01-02 00:00:00,2025-01-02
2025-01-02 01:00:00,24842.726139421735,26889.966,2047.2398605782655,2025-01-02 01:00:00,2025-01-02
2025-01-02 01:15:00,24801.39621910397,27794.738,2993.3417808960294,2025-01-02 01:00:00,2025-01-02
2025-01-02 01:30:00,24764.3084872304,27598.109,2833.8005127696015,2025-01-02 01:00:00,2025-01-02
2025-01-02 01:45:00,24737.23661975017,27129.38,2392.1433802498323,2025-01-02 01:00:00,2025-01-02
2025-01-02 02:00:00,25571.698909004957,26669.139,1097.4400909950418,2025-01-02 02:00:00,2025-01-02
2025-01-02 02:15:00,26424.444035711458,26404.094,-20.350035711457167,2025-01-02 02:00:00,2025-01-02
2025-01-02 02:30:00,27240.89815293174,25999.34,-1241.5581529317387,2025-01-02 02:00:00,2025-01-02
2025-01-02 02:45:00,27760.21086856038,25915.45,-1844.760868560381,2025-01-02 02:00:00,2025-01-02
2025-01-02 03:00:00,32062.339919948445,25936.088,-6126.251919948445,2025-01-02 03:00:00,2025-01-02
2025-01-02 03:15:00,36297.894356386736,25713.973,-10583.921356386734,2025-01-02 03:00:00,2025-01-02
2025-01-02 03:30:00,38699.51771254047,25599.463,-13100.054712540474,2025-01-02 03:00:00,2025-01-02
2025-01-02 03:45:00,38845.699999961944,25624.845,-13220.854999961943,2025-01-02 03:00:00,2025-01-02
2025-01-02 04:00:00,45707.574497770336,25842.217,-19865.357497770336,2025-01-02 04:00:00,2025-01-02
2025-01-02 04:15:00,47816.154670081756,26128.22,-21687.934670081755,2025-01-02 04:00:00,2025-01-02
2025-01-02 04:30:00,49335.74923536109,26372.015,-22963.734235361087,2025-01-02 04:00:00,2025-01-02
2025-01-02 04:45:00,49546.23024562792,26792.058,-22754.17224562792,2025-01-02 04:00:00,2025-01-02
2025-01-02 05:00:00,51320.71034439016,27569.321,-23751.389344390158,2025-01-02 05:00:00,2025-01-02
2025-01-02 05:15:00,53124.121649285655,28136.383,-24987.738649285653,2025-01-02 05:00:00,2025-01-02
2025-01-02 05:30:00,54160.47499580224,29104.25,-25056.224995802237,2025-01-02 05:00:00,2025-01-02
2025-01-02 05:45:00,54580.82790070472,29472.735,-25108.092900704716,2025-01-02 05:00:00,2025-01-02
2025-01-02 06:00:00,55014.31427308063,31009.133,-24005.181273080627,2025-01-02 06:00:00,2025-01-02
2025-01-02 06:15:00,55518.73508001695,31988.798,-23529.937080016953,2025-01-02 06:00:00,2025-01-02
2025-01-02 06:30:00,55897.25135059181,32796.028,-23101.223350591812,2025-01-02 06:00:00,2025-01-02
2025-01-02 06:45:00,56152.202810065195,33705.829,-22446.373810065197,2025-01-02 06:00:00,2025-01-02
2025-01-02 07:00:00,57316.72668548783,34850.053,-22466.673685487833,2025-01-02 07:00:00,2025-01-02
2025-01-02 07:15:00,57943.46153030549,35770.264,-22173.197530305486,2025-01-02 07:00:00,2025-01-02
2025-01-02 07:30:00,58343.60246661426,36338.372,-22005.23046661426,2025-01-02 07:00:00,2025-01-02
2025-01-02 07:45:00,58461.055388268505,36875.124,-21585.931388268502,2025-01-02 07:00:00,2025-01-02
2025-01-02 08:00:00,58740.80897104314,37745.827,-20994.98197104314,2025-01-02 08:00:00,2025-01-02
2025-01-02 08:15:00,58851.76567587101,37722.233,-21129.532675871007,2025-01-02 08:00:00,2025-01-02
2025-01-02 08:30:00,58891.29824840278,38066.954,-20824.344248402784,2025-01-02 08:00:00,2025-01-02
2025-01-02 08:45:00,58893.564157610665,38469.994,-20423.570157610666,2025-01-02 08:00:00,2025-01-02
2025-01-02 09:00:00,58503.83167395409,39292.277,-19211.554673954088,2025-01-02 09:00:00,2025-01-02
2025-01-02 09:15:00,58384.96417272072,39446.374,-18938.590172720717,2025-01-02 09:00:00,2025-01-02
2025-01-02 09:30:00,58256.783219946185,39602.866,-18653.917219946183,2025-01-02 09:00:00,2025-01-02
2025-01-02 09:45:00,58166.448711087534,39560.263,-18606.185711087535,2025-01-02 09:00:00,2025-01-02
2025-01-02 10:00:00,57070.58821774233,39363.606,-17706.982217742327,2025-01-02 10:00:00,2025-01-02
2025-01-02 10:15:00,56440.262111412914,39377.715,-17062.547111412918,2025-01-02 10:00:00,2025-01-02
2025-01-02 10:30:00,55682.75382164822,39437.193,-16245.560821648221,2025-01-02 10:00:00,2025-01-02
2025-01-02 10:45:00,55083.82951856744,39780.719,-15303.110518567446,2025-01-02 10:00:00,2025-01-02
2025-01-02 11:00:00,53640.79001611712,40500.417,-13140.373016117119,2025-01-02 11:00:00,2025-01-02
2025-01-02 11:15:00,52534.77828154497,40308.547,-12226.23128154497,2025-01-02 11:00:00,2025-01-02
