hour,predicted_hourly,actual_hourly
2025-01-01 00:00:00,111816.87167255316,118129.883
2025-01-01 01:00:00,102516.16266083196,119101.738
2025-01-01 02:00:00,108163.64870365511,114076.208
2025-01-01 03:00:00,135155.02781906317,109425.34599999999
2025-01-01 04:00:00,183544.24354403222,108231.121
2025-01-01 05:00:00,205435.86830661594,110977.317
2025-01-01 06:00:00,214118.82281825924,115632.855
2025-01-01 07:00:00,220937.43490132043,119834.954
2025-01-01 08:00:00,223367.7649316708,121312.05600000001
2025-01-01 09:00:00,220837.6866220095,124640.196
2025-01-01 10:00:00,212866.52398604265,130000.006
2025-01-01 11:00:00,198266.3535492299,129421.334
2025-01-01 12:00:00,182211.06998961337,129774.446
2025-01-01 13:00:00,172072.36202836529,130741.649
2025-01-01 14:00:00,169502.82620377291,130561.187
2025-01-01 15:00:00,174840.72918916718,130816.155
2025-01-01 16:00:00,179225.36547814237,135412.089
2025-01-01 17:00:00,156165.90946156398,143621.536
2025-01-01 18:00:00,133366.19299668222,145877.818
2025-01-01 19:00:00,125733.22073733197,142125.649
2025-01-01 20:00:00,120053.50840504508,135130.231
2025-01-01 21:00:00,114913.21176836327,128665.018
2025-01-01 22:00:00,108921.18598349193,123613.787
2025-01-01 23:00:00,105085.46947963287,116609.299
2025-01-02 00:00:00,101187.46586277237,110503.765
2025-01-02 01:00:00,99145.66746550627,109412.193
2025-01-02 02:00:00,106997.25196620854,104988.023
2025-01-02 03:00:00,145905.4519888376,102874.369
2025-01-02 04:00:00,192405.7086488411,105134.51000000001
2025-01-02 05:00:00,213186.13489018276,114282.689
2025-01-02 06:00:00,222582.50351375458,129499.788
2025-01-02 07:00:00,232064.84607067608,143833.81300000002
2025-01-02 08:00:00,235377.4370529276,152005.008
2025-01-02 09:00:00,233312.02777770854,157901.78
2025-01-02 10:00:00,224277.4336693709,157959.233
2025-01-02 11:00:00,207774.2980125929,162447.422
2025-01-02 12:00:00,189826.40049311778,165219.15899999999
2025-01-02 13:00:00,176000.3931838571,166175.538
2025-01-02 14:00:00,170400.02489139233,164487.557
2025-01-02 15:00:00,176974.46995569472,162923.299
2025-01-02 16:00:00,183843.09542566122,163991.679
2025-01-02 17:00:00,159094.4471124703,166214.62
2025-01-02 18:00:00,130986.78503654836,165176.995
2025-01-02 19:00:00,120765.32493560627,159415.234
2025-01-02 20:00:00,115956.02979149627,149856.301
2025-01-02 21:00:00,109730.30354901344,138839.941
2025-01-02 22:00:00,106122.11478175019,130077.163
2025-01-02 23:00:00,101117.68769838758,120915.875
2025-01-03 00:00:00,97292.57789420898,113093.884
2025-01-03 01:00:00,98200.95405035741,111585.558
2025-01-03 02:00:00,106431.13906514813,107013.842
2025-01-03 03:00:00,145041.75415473734,104377.8
2025-01-03 04:00:00,193560.65195728195,106022.461
2025-01-03 05:00:00,215795.20539418265,115017.789
2025-01-03 06:00:00,225499.51761732274,131153.415
2025-01-03 07:00:00,234459.71147929376,146042.2
2025-01-03 08:00:00,236147.93703254825,156034.847
2025-01-03 09:00:00,235514.23693350452,162935.059
2025-01-03 10:00:00,229117.2136297141,167082.90399999998
2025-01-03 11:00:00,212659.20747180228,167977.312
2025-01-03 12:00:00,195045.51784044734,166504.024
2025-01-03 13:00:00,179407.89328091353,165639.259
2025-01-03 14:00:00,171378.5816287802,164171.8
2025-01-03 15:00:00,176936.08620650877,162306.513
2025-01-03 16:00:00,183332.91582850137,163764.399
2025-01-03 17:00:00,158801.1308050154,170755.423
2025-01-03 18:00:00,130998.52808738794,169554.367
2025-01-03 19:00:00,120484.73475488655,161579.031
2025-01-03 20:00:00,115087.5691131863,150860.42
2025-01-03 21:00:00,109058.65385372823,140758.874
2025-01-03 22:00:00,105622.59043987068,132878.545
2025-01-03 23:00:00,99776.0769695225,124376.171
2025-01-04 00:00:00,95941.00133919896,117101.909
2025-01-04 01:00:00,96321.83702970025,116105.187
2025-01-04 02:00:00,102371.7977272447,110331.682
2025-01-04 03:00:00,125827.56610223612,107316.916
2025-01-04 04:00:00,155493.2934281679,107135.261
2025-01-04 05:00:00,177986.20058472338,111929.555
2025-01-04 06:00:00,189978.6721276377,118384.699
2025-01-04 07:00:00,194834.7885542649,125805.618
2025-01-04 08:00:00,194484.06842311163,135124.525
2025-01-04 09:00:00,191676.75753304153,143215.557
2025-01-04 10:00:00,184944.22702577777,148023.678
2025-01-04 11:00:00,175316.4440468857,148474.682
2025-01-04 12:00:00,167803.970319635,150166.681
2025-01-04 13:00:00,163925.10117404058,149399.289
2025-01-04 14:00:00,156481.4202892919,152038.77899999998
2025-01-04 15:00:00,161894.03763966018,150333.81
2025-01-04 16:00:00,170096.84372765553,153354.19400000002
2025-01-04 17:00:00,152290.5986590896,160771.46
2025-01-04 18:00:00,132384.31019042738,160786.45
2025-01-04 19:00:00,118783.3023041631,155811.46600000001
2025-01-04 20:00:00,110642.49104928374,147526.53999999998
2025-01-04 21:00:00,105229.1542915993,138427.01799999998
2025-01-04 22:00:00,100083.92800840383,130302.019
2025-01-04 23:00:00,96306.99175571004,122539.603
2025-01-05 00:00:00,93952.90077810004,116454.034
2025-01-05 01:00:00,94345.23957769063,111840.666
2025-01-05 02:00:00,98018.93812847786,107205.74100000001
2025-01-05 03:00:00,112647.87766608896,104622.883
2025-01-05 04:00:00,136127.6823603803,104921.47
2025-01-05 05:00:00,156192.56958081303,107466.683
2025-01-05 06:00:00,169014.36190659017,110785.195
2025-01-05 07:00:00,173440.6108820018,115982.477
2025-01-05 08:00:00,173362.62421955835,121662.59700000001
2025-01-05 09:00:00,171877.5210681052,127999.05
2025-01-05 10:00:00,167595.15119153672,133882.137
2025-01-05 11:00:00,163426.76018602154,137539.56
2025-01-05 12:00:00,153468.32211006203,139910.065
2025-01-05 13:00:00,143367.86425130995,140363.383
2025-01-05 14:00:00,145640.01870137308,138958.8
2025-01-05 15:00:00,158897.76566696382,138505.702
2025-01-05 16:00:00,165527.4305013234,140953.373
2025-01-05 17:00:00,150400.53191363811,149339.428
2025-01-05 18:00:00,131209.9639093552,152908.328
2025-01-05 19:00:00,116847.22575195364,148569.741
2025-01-05 20:00:00,107769.92123601731,140282.975
2025-01-05 21:00:00,102530.40931442927,132170.608
2025-01-05 22:00:00,97954.45091489454,123932.306
2025-01-05 23:00:00,94655.34124175175,114871.368
2025-01-06 00:00:00,95256.47564561595,109081.737
2025-01-06 01:00:00,96691.38187156807,105612.658
2025-01-06 02:00:00,103974.8930548786,102473.02
2025-01-06 03:00:00,138434.0545986307,102208.303
2025-01-06 04:00:00,187465.74337390965,106241.376
2025-01-06 05:00:00,206740.73023838722,117333.848
2025-01-06 06:00:00,214807.25461683853,138952.173
2025-01-06 07:00:00,221945.67114777653,163736.08299999998
2025-01-06 08:00:00,226588.8126217351,177794.73200000002
2025-01-06 09:00:00,228833.54574500932,183579.329
2025-01-06 10:00:00,228317.4088898658,184240.437
2025-01-06 11:00:00,217300.55248299183,185414.45
2025-01-06 12:00:00,202578.29863140392,179717.72
2025-01-06 13:00:00,188209.18375751527,171139.676
2025-01-06 14:00:00,183124.69792217924,175277.126
2025-01-06 15:00:00,187098.9800567041,174293.33000000002
2025-01-06 16:00:00,188184.32711816972,172780.335
2025-01-06 17:00:00,162768.7520724844,174460.093
2025-01-06 18:00:00,133054.8515621949,172164.922
2025-01-06 19:00:00,121335.44138068928,163571.164
2025-01-06 20:00:00,115135.53523441628,151791.812
2025-01-06 21:00:00,110303.80933862466,139399.532
2025-01-06 22:00:00,105444.27178183431,129425.364
2025-01-06 23:00:00,100164.04540060021,118906.424
2025-01-07 00:00:00,96453.72513343068,111049.147
2025-01-07 01:00:00,98112.3890092456,109832.666
2025-01-07 02:00:00,107047.49121268655,105739.927
2025-01-07 03:00:00,146758.5239978235,103693.831
2025-01-07 04:00:00,192668.4802860453,105959.004
2025-01-07 05:00:00,213961.88460665467,116588.572
2025-01-07 06:00:00,222319.27597930556,138958.941
2025-01-07 07:00:00,231699.03651179094,162633.618
2025-01-07 08:00:00,235765.3907375717,176363.123
2025-01-07 09:00:00,235505.8280718672,181891.055
2025-01-07 10:00:00,230573.58415575195,182953.506
2025-01-07 11:00:00,217581.94857398936,185366.733
2025-01-07 12:00:00,201010.45986369575,183298.191
2025-01-07 13:00:00,185552.86263147273,180667.34100000001
2025-01-07 14:00:00,178421.8594339593,175878.184
2025-01-07 15:00:00,183248.41941861043,174736.61
2025-01-07 16:00:00,188073.74278873095,174334.08000000002
2025-01-07 17:00:00,160533.74070809886,178983.005
2025-01-07 18:00:00,131774.48049558594,177444.939
2025-01-07 19:00:00,120407.6962739472,167030.464
2025-01-07 20:00:00,114608.20126751593,154327.316
2025-01-07 21:00:00,108941.11060775231,141835.744
2025-01-07 22:00:00,106340.6746586689,132100.05599999998
2025-01-07 23:00:00,76397.49826126415,91522.718
