Start der Messung;Start der Messung (Text);Stromverbrauch;Grundversorgte Kunden;Freie Kunden;Jahr;Monat;Tag;Wochentag;Tag des Jahres;Quartal;Woche des Jahres
2025-01-31T23:45:00+01:00;2025-01-31T23:45:00+0100;30107.569;15010.53;15097.039;2025;1;31;4;31;1;5
2025-01-31T23:30:00+01:00;2025-01-31T23:30:00+0100;30525.286;15350.721;15174.565;2025;1;31;4;31;1;5
2025-01-31T23:15:00+01:00;2025-01-31T23:15:00+0100;31205.238;16020.018;15185.221;2025;1;31;4;31;1;5
2025-01-31T23:00:00+01:00;2025-01-31T23:00:00+0100;31713.148;16452.793;15260.356;2025;1;31;4;31;1;5
2025-01-31T22:45:00+01:00;2025-01-31T22:45:00+0100;32839.556;17228.164;15611.393;2025;1;31;4;31;1;5
2025-01-31T22:30:00+01:00;2025-01-31T22:30:00+0100;33402.344;17636.164;15766.18;2025;1;31;4;31;1;5
2025-01-31T22:15:00+01:00;2025-01-31T22:15:00+0100;33517.135;17400.683;16116.453;2025;1;31;4;31;1;5
2025-01-31T22:00:00+01:00;2025-01-31T22:00:00+0100;33843.305;17739.678;16103.627;2025;1;31;4;31;1;5
2025-01-31T21:45:00+01:00;2025-01-31T21:45:00+0100;34601.121;18121.19;16479.931;2025;1;31;4;31;1;5
2025-01-31T21:30:00+01:00;2025-01-31T21:30:00+0100;35271.913;18592.48;16679.434;2025;1;31;4;31;1;5
2025-01-31T21:15:00+01:00;2025-01-31T21:15:00+0100;35971.358;19163.599;16807.759;2025;1;31;4;31;1;5
2025-01-31T21:00:00+01:00;2025-01-31T21:00:00+0100;36435.626;19387.886;17047.741;2025;1;31;4;31;1;5
2025-01-31T20:45:00+01:00;2025-01-31T20:45:00+0100;37264.327;20003.088;17261.239;2025;1;31;4;31;1;5
2025-01-31T20:30:00+01:00;2025-01-31T20:30:00+0100;37924.709;20437.919;17486.79;2025;1;31;4;31;1;5
2025-01-31T20:15:00+01:00;2025-01-31T20:15:00+0100;39083.022;21391.248;17691.774;2025;1;31;4;31;1;5
2025-01-31T20:00:00+01:00;2025-01-31T20:00:00+0100;39709.571;21443.023;18266.548;2025;1;31;4;31;1;5
2025-01-31T19:45:00+01:00;2025-01-31T19:45:00+0100;40258.598;21685.879;18572.719;2025;1;31;4;31;1;5
2025-01-31T19:30:00+01:00;2025-01-31T19:30:00+0100;40925.8;22168.501;18757.299;2025;1;31;4;31;1;5
