feature,importance
Lag_15min,0.982201950356821
Lag_1h,0.007279627662216819
Stunde (Lokal)_6.0,0.001817872651710534
Lag_24h,0.0016392226387546712
Globalstrahlung; Zehnminutenmittel_lag15,0.001301359739630382
Stunde (Lokal)_5.0,0.0011011288306485303
Stunde (Lokal)_7.0,0.0010035888524140381
Stunde (Lokal)_20.0,0.0005134195480908214
IstArbeitstag,0.00036242963349042184
Diffusstrahlung; Zehnminutenmittel_lag15,0.0002801159905698853
Stunde (Lokal)_23.0,0.0002771766786663901
Stunde (Lokal)_2.0,0.0002596888526420947
Stunde (Lokal)_0.0,0.0002195502784491675
Stunde (Lokal)_19.0,0.00021386370635907863
Stunde (Lokal)_8.0,0.00013487890287744783
Stunde (Lokal)_1.0,0.00013260458538163916
Stunde (Lokal)_12.0,0.00012312062416946503
Stunde (Lokal)_4.0,0.00010569401921914164
Stunde (Lokal)_15.0,0.00010348977479254124
Stunde (Lokal)_9.0,9.333208098672367e-05
Stunde (Lokal)_11.0,8.572947682318435e-05
Chilltemperatur_lag15,7.0583498615572e-05
Stunde (Lokal)_17.0,6.995382316539621e-05
Stunde (Lokal)_14.0,6.328973873341985e-05
Stunde (Lokal)_18.0,5.488291504590151e-05
Lag_30min,4.864039627833125e-05
Wochentag_0.0,4.703719460478996e-05
Stunde (Lokal)_10.0,4.439990009384482e-05
Stunde (Lokal)_3.0,4.256284077101069e-05
Wochentag_5.0,4.199852558504914e-05
IstSonntag,4.083557021324965e-05
Wochentag_6.0,3.694604920775356e-05
Stunde (Lokal)_21.0,3.694205927791296e-05
Stunde (Lokal)_13.0,2.4275464396991362e-05
relative Luftfeuchtigkeit_lag15,1.7170649917196002e-05
Stunde (Lokal)_22.0,1.4727273067557073e-05
Stunde (Lokal)_16.0,1.4021956706099779e-05
Quartal_3.0,9.209648857467796e-06
Quartal_1.0,8.490922019270723e-06
Wochentag_4.0,6.2105723496901665e-06
Quartal_4.0,6.11323088182634e-06
Monat_3.0,5.421481014619898e-06
Quartal_2.0,5.3970686542317655e-06
Monat_1.0,5.103817522182017e-06
Monat_7.0,4.785062685083228e-06
Monat_9.0,4.669078739758973e-06
Monat_4.0,4.127759046142101e-06
Monat_10.0,3.7008139835520205e-06
Wochentag_1.0,3.4766426648875174e-06
Monat_8.0,3.040142375936844e-06
Wochentag_3.0,2.3752668889600484e-06
Monat_12.0,1.9895090714949867e-06
Monat_2.0,1.905842517332229e-06
Monat_6.0,1.5223304813544513e-06
Monat_11.0,1.518485565884433e-06
Sonnenscheindauer; Zehnminutensumme_lag15,1.496202780420462e-06
Monat_5.0,9.787687469758743e-07
Wochentag_2.0,3.546127586978304e-07
