feature,importance
Lag_15min,0.20216022887998858
Stunde (Lokal),0.16760882825990428
Lag_30min,0.16065684388087448
Lag_1h,0.14034173407343425
Lag_24h,0.12410338190198847
Globalstrahlung; Zehnminutenmittel_lag15,0.071376988296572
Diffusstrahlung; Zehnminutenmittel_lag15,0.057740322017954794
Lufttemperatur Bodenoberfläche_lag15,0.014219112349327365
Sonnenscheindauer; Zehnminutensumme_lag15,0.013087407024899677
IstArbeitstag,0.011444911237043753
Lufttemperatur 2 m ü. Gras_lag15,0.010817769116243301
Lufttemperatur 2 m ü. Boden_lag15,0.00867661480326778
Chilltemperatur_lag15,0.008488745692844399
relative Luftfeuchtigkeit_lag15,0.0063391915064143056
Böenspitze (Sekundenböe)_lag15,0.0029379209592426667
