Start der Messung;Start der Messung (Text);Stromverbrauch;Grundversorgte Kunden;Freie Kunden;Jahr;Monat;Tag;Wochentag;Tag des Jahres;Quartal;Woche des Jahres
2025-12-06T23:45:00+01:00;2025-12-06T23:45:00+0100;28039.271;14649.972;13389.299;2025;12;6;5;340;4;49
2025-12-06T23:30:00+01:00;2025-12-06T23:30:00+0100;28595.485;15112.629;13482.856;2025;12;6;5;340;4;49
2025-12-06T23:15:00+01:00;2025-12-06T23:15:00+0100;28822.243;15402.088;13420.155;2025;12;6;5;340;4;49
2025-12-06T23:00:00+01:00;2025-12-06T23:00:00+0100;29652.585;16073.277;13579.308;2025;12;6;5;340;4;49
2025-12-06T22:45:00+01:00;2025-12-06T22:45:00+0100;30063.008;16356.709;13706.299;2025;12;6;5;340;4;49
2025-12-06T22:30:00+01:00;2025-12-06T22:30:00+0100;30549.488;16767.414;13782.074;2025;12;6;5;340;4;49
2025-12-06T22:15:00+01:00;2025-12-06T22:15:00+0100;31248.773;17217.55;14031.223;2025;12;6;5;340;4;49
2025-12-06T22:00:00+01:00;2025-12-06T22:00:00+0100;31951.688;17744.493;14207.195;2025;12;6;5;340;4;49
2025-12-06T21:45:00+01:00;2025-12-06T21:45:00+0100;32365.263;17983.374;14381.889;2025;12;6;5;340;4;49
2025-12-06T21:30:00+01:00;2025-12-06T21:30:00+0100;32820.241;18382.997;14437.244;2025;12;6;5;340;4;49
2025-12-06T21:15:00+01:00;2025-12-06T21:15:00+0100;33517.097;18955.47;14561.627;2025;12;6;5;340;4;49
2025-12-06T21:00:00+01:00;2025-12-06T21:00:00+0100;34088.806;19455.665;14633.141;2025;12;6;5;340;4;49
2025-12-06T20:45:00+01:00;2025-12-06T20:45:00+0100;34321.256;19586.149;14735.107;2025;12;6;5;340;4;49
2025-12-06T20:30:00+01:00;2025-12-06T20:30:00+0100;34912.074;20158.304;14753.77;2025;12;6;5;340;4;49
2025-12-06T20:15:00+01:00;2025-12-06T20:15:00+0100;35375.94;20439.345;14936.595;2025;12;6;5;340;4;49
2025-12-06T20:00:00+01:00;2025-12-06T20:00:00+0100;36015.197;20829.52;15185.677;2025;12;6;5;340;4;49
2025-12-06T19:45:00+01:00;2025-12-06T19:45:00+0100;36401.078;21236.437;15164.641;2025;12;6;5;340;4;49
2025-12-06T19:30:00+01:00;2025-12-06T19:30:00+0100;36756.237;21439.803;15316.434;2025;12;6;5;340;4;49
2025-12-06T19:15:00+01:00;2025-12-06T19:15:00+0100;36979.774;21603.697;15376.077;2025;12;6;5;340;4;49
2025-12-06T19:00:00+01:00;2025-12-06T19:00:00+0100;37491.652;21998.841;15492.811;2025;12;6;5;340;4;49
2025-12-06T18:45:00+01:00;2025-12-06T18:45:00+0100;37730.429;21942.928;15787.501;2025;12;6;5;340;4;49
2025-12-06T18:30:00+01:00;2025-12-06T18:30:00+0100;38124.766;22127.721;15997.045;2025;12;6;5;340;4;49
2025-12-06T18:15:00+01:00;2025-12-06T18:15:00+0100;38561.669;22270.116;16291.553;2025;12;6;5;340;4;49
2025-12-06T18:00:00+01:00;2025-12-06T18:00:00+0100;39030.085;22339.433;16690.652;2025;12;6;5;340;4;49
2025-12-06T17:45:00+01:00;2025-12-06T17:45:00+0100;39180.04;22325.0;16855.04;2025;12;6;5;340;4;49
2025-12-06T17:30:00+01:00;2025-12-06T17:30:00+0100;38770.118;21980.075;16790.043;2025;12;6;5;340;4;49
2025-12-06T17:15:00+01:00;2025-12-06T17:15:00+0100;38762.033;21828.972;16933.061;2025;12;6;5;340;4;49
2025-12-06T17:00:00+01:00;2025-12-06T17:00:00+0100;38433.603;21567.059;16866.544;2025;12;6;5;340;4;49
2025-12-06T16:45:00+01:00;2025-12-06T16:45:00+0100;38782.835;21639.669;17143.166;2025;12;6;5;340;4;49
2025-12-06T16:30:00+01:00;2025-12-06T16:30:00+0100;38096.204;21021.366;17074.838;2025;12;6;5;340;4;49
2025-12-06T16:15:00+01:00;2025-12-06T16:15:00+0100;37597.872;20530.294;17067.578;2025;12;6;5;340;4;49
2025-12-06T16:00:00+01:00;2025-12-06T16:00:00+0100;37395.79;20158.893;17236.897;2025;12;6;5;340;4;49
2025-12-06T15:45:00+01:00;2025-12-06T15:45:00+0100;37261.422;20005.11;17256.312;2025;12;6;5;340;4;49
2025-12-06T15:30:00+01:00;2025-12-06T15:30:00+0100;37533.418;20278.062;17255.356;2025;12;6;5;340;4;49
2025-12-06T15:15:00+01:00;2025-12-06T15:15:00+0100;37804.123;20594.045;17210.078;2025;12;6;5;340;4;49
2025-12-06T15:00:00+01:00;2025-12-06T15:00:00+0100;38330.883;21067.883;17263.0;2025;12;6;5;340;4;49
2025-12-06T14:45:00+01:00;2025-12-06T14:45:00+0100;38742.567;21362.01;17380.557;2025;12;6;5;340;4;49
2025-12-06T14:30:00+01:00;2025-12-06T14:30:00+0100;38939.875;21590.361;17349.514;2025;12;6;5;340;4;49
2025-12-06T14:15:00+01:00;2025-12-06T14:15:00+0100;37242.537;20065.102;17177.435;2025;12;6;5;340;4;49
2025-12-06T14:00:00+01:00;2025-12-06T14:00:00+0100;37767.616;20483.121;17284.495;2025;12;6;5;340;4;49
2025-12-06T13:45:00+01:00;2025-12-06T13:45:00+0100;37359.641;20089.122;17270.519;2025;12;6;5;340;4;49
2025-12-06T13:30:00+01:00;2025-12-06T13:30:00+0100;37733.502;20460.68;17272.822;2025;12;6;5;340;4;49
2025-12-06T13:15:00+01:00;2025-12-06T13:15:00+0100;38176.006;20683.396;17492.61;2025;12;6;5;340;4;49
2025-12-06T13:00:00+01:00;2025-12-06T13:00:00+0100;38543.238;20981.69;17561.548;2025;12;6;5;340;4;49
2025-12-06T12:45:00+01:00;2025-12-06T12:45:00+0100;39411.576;21552.521;17859.055;2025;12;6;5;340;4;49
2025-12-06T12:30:00+01:00;2025-12-06T12:30:00+0100;38602.667;21079.474;17523.193;2025;12;6;5;340;4;49
2025-12-06T12:15:00+01:00;2025-12-06T12:15:00+0100;38112.921;20590.119;17522.802;2025;12;6;5;340;4;49
2025-12-06T12:00:00+01:00;2025-12-06T12:00:00+0100;38075.714;20429.927;17645.787;2025;12;6;5;340;4;49
2025-12-06T11:45:00+01:00;2025-12-06T11:45:00+0100;37652.308;20063.663;17588.645;2025;12;6;5;340;4;49
2025-12-06T11:30:00+01:00;2025-12-06T11:30:00+0100;37199.081;19665.552;17533.529;2025;12;6;5;340;4;49
2025-12-06T11:15:00+01:00;2025-12-06T11:15:00+0100;36911.134;19416.832;17494.302;2025;12;6;5;340;4;49
2025-12-06T11:00:00+01:00;2025-12-06T11:00:00+0100;36891.978;19378.511;17513.467;2025;12;6;5;340;4;49
2025-12-06T10:45:00+01:00;2025-12-06T10:45:00+0100;36705.504;19113.015;17592.489;2025;12;6;5;340;4;49
2025-12-06T10:30:00+01:00;2025-12-06T10:30:00+0100;36755.167;19199.035;17556.132;2025;12;6;5;340;4;49
2025-12-06T10:15:00+01:00;2025-12-06T10:15:00+0100;36492.871;18967.834;17525.037;2025;12;6;5;340;4;49
2025-12-06T10:00:00+01:00;2025-12-06T10:00:00+0100;36960.359;19293.295;17667.064;2025;12;6;5;340;4;49
2025-12-06T09:45:00+01:00;2025-12-06T09:45:00+0100;36936.176;19155.693;17780.483;2025;12;6;5;340;4;49
2025-12-06T09:30:00+01:00;2025-12-06T09:30:00+0100;36553.722;18836.135;17717.587;2025;12;6;5;340;4;49
2025-12-06T09:15:00+01:00;2025-12-06T09:15:00+0100;35861.887;18404.013;17457.874;2025;12;6;5;340;4;49
2025-12-06T09:00:00+01:00;2025-12-06T09:00:00+0100;35310.12;17854.188;17455.932;2025;12;6;5;340;4;49
2025-12-06T08:45:00+01:00;2025-12-06T08:45:00+0100;34753.582;17479.371;17274.211;2025;12;6;5;340;4;49
2025-12-06T08:30:00+01:00;2025-12-06T08:30:00+0100;33930.707;16911.978;17018.729;2025;12;6;5;340;4;49
2025-12-06T08:15:00+01:00;2025-12-06T08:15:00+0100;33366.364;16416.785;16949.579;2025;12;6;5;340;4;49
2025-12-06T08:00:00+01:00;2025-12-06T08:00:00+0100;32766.278;15962.051;16804.227;2025;12;6;5;340;4;49
2025-12-06T07:45:00+01:00;2025-12-06T07:45:00+0100;32062.277;15636.606;16425.671;2025;12;6;5;340;4;49
2025-12-06T07:30:00+01:00;2025-12-06T07:30:00+0100;31300.869;15102.87;16197.999;2025;12;6;5;340;4;49
2025-12-06T07:15:00+01:00;2025-12-06T07:15:00+0100;30504.909;14586.972;15917.937;2025;12;6;5;340;4;49
2025-12-06T07:00:00+01:00;2025-12-06T07:00:00+0100;30055.32;14241.9;15813.42;2025;12;6;5;340;4;49
2025-12-06T06:45:00+01:00;2025-12-06T06:45:00+0100;29329.234;13818.559;15510.675;2025;12;6;5;340;4;49
2025-12-06T06:30:00+01:00;2025-12-06T06:30:00+0100;28848.819;13542.376;15306.443;2025;12;6;5;340;4;49
2025-12-06T06:15:00+01:00;2025-12-06T06:15:00+0100;28563.24;13290.474;15272.766;2025;12;6;5;340;4;49
2025-12-06T06:00:00+01:00;2025-12-06T06:00:00+0100;28150.171;13075.551;15074.62;2025;12;6;5;340;4;49
2025-12-06T05:45:00+01:00;2025-12-06T05:45:00+0100;27141.982;12679.973;14462.009;2025;12;6;5;340;4;49
2025-12-06T05:30:00+01:00;2025-12-06T05:30:00+0100;26793.183;12614.796;14178.387;2025;12;6;5;340;4;49
2025-12-06T05:15:00+01:00;2025-12-06T05:15:00+0100;26624.398;12588.519;14035.879;2025;12;6;5;340;4;49
2025-12-06T05:00:00+01:00;2025-12-06T05:00:00+0100;26264.232;12425.943;13838.289;2025;12;6;5;340;4;49
2025-12-06T04:45:00+01:00;2025-12-06T04:45:00+0100;25666.287;12249.122;13417.165;2025;12;6;5;340;4;49
2025-12-06T04:30:00+01:00;2025-12-06T04:30:00+0100;25663.066;12463.197;13199.869;2025;12;6;5;340;4;49
2025-12-06T04:15:00+01:00;2025-12-06T04:15:00+0100;25265.159;12202.448;13062.711;2025;12;6;5;340;4;49
2025-12-06T04:00:00+01:00;2025-12-06T04:00:00+0100;25223.723;12204.908;13018.815;2025;12;6;5;340;4;49
2025-12-06T03:45:00+01:00;2025-12-06T03:45:00+0100;25422.922;12418.923;13003.999;2025;12;6;5;340;4;49
2025-12-06T03:30:00+01:00;2025-12-06T03:30:00+0100;25451.403;12419.167;13032.236;2025;12;6;5;340;4;49
2025-12-06T03:15:00+01:00;2025-12-06T03:15:00+0100;25601.951;12615.258;12986.693;2025;12;6;5;340;4;49
2025-12-06T03:00:00+01:00;2025-12-06T03:00:00+0100;25834.378;12778.328;13056.05;2025;12;6;5;340;4;49
2025-12-06T02:45:00+01:00;2025-12-06T02:45:00+0100;26147.21;13061.483;13085.727;2025;12;6;5;340;4;49
2025-12-06T02:30:00+01:00;2025-12-06T02:30:00+0100;26296.863;13181.173;13115.69;2025;12;6;5;340;4;49
2025-12-06T02:15:00+01:00;2025-12-06T02:15:00+0100;26670.172;13535.233;13134.939;2025;12;6;5;340;4;49
2025-12-06T02:00:00+01:00;2025-12-06T02:00:00+0100;27086.321;13822.529;13263.792;2025;12;6;5;340;4;49
2025-12-06T01:45:00+01:00;2025-12-06T01:45:00+0100;27816.939;14453.671;13363.268;2025;12;6;5;340;4;49
2025-12-06T01:30:00+01:00;2025-12-06T01:30:00+0100;28430.424;14850.824;13579.6;2025;12;6;5;340;4;49
2025-12-06T01:15:00+01:00;2025-12-06T01:15:00+0100;28622.381;14884.961;13737.42;2025;12;6;5;340;4;49
2025-12-06T01:00:00+01:00;2025-12-06T01:00:00+0100;27623.772;13856.112;13767.66;2025;12;6;5;340;4;49
2025-12-06T00:45:00+01:00;2025-12-06T00:45:00+0100;28053.833;14107.088;13946.745;2025;12;6;5;340;4;49
2025-12-06T00:30:00+01:00;2025-12-06T00:30:00+0100;28388.656;14363.362;14025.294;2025;12;6;5;340;4;49
2025-12-06T00:15:00+01:00;2025-12-06T00:15:00+0100;28705.449;14625.53;14079.919;2025;12;6;5;340;4;49
2025-12-06T00:00:00+01:00;2025-12-06T00:00:00+0100;29376.429;15255.882;14120.547;2025;12;6;5;340;4;49
2025-12-05T23:45:00+01:00;2025-12-05T23:45:00+0100;29689.145;15534.961;14154.184;2025;12;5;4;339;4;49
2025-12-05T23:30:00+01:00;2025-12-05T23:30:00+0100;30358.567;15966.832;14391.735;2025;12;5;4;339;4;49
2025-12-05T23:15:00+01:00;2025-12-05T23:15:00+0100;31022.417;16516.996;14505.421;2025;12;5;4;339;4;49
2025-12-05T23:00:00+01:00;2025-12-05T23:00:00+0100;31956.843;17190.843;14766.0;2025;12;5;4;339;4;49
2025-12-05T22:45:00+01:00;2025-12-05T22:45:00+0100;32787.798;17787.417;15000.381;2025;12;5;4;339;4;49
2025-12-05T22:30:00+01:00;2025-12-05T22:30:00+0100;33249.344;18222.116;15027.228;2025;12;5;4;339;4;49
2025-12-05T22:15:00+01:00;2025-12-05T22:15:00+0100;33468.504;18116.762;15351.742;2025;12;5;4;339;4;49
2025-12-05T22:00:00+01:00;2025-12-05T22:00:00+0100;34080.12;18515.783;15564.337;2025;12;5;4;339;4;49
2025-12-05T21:45:00+01:00;2025-12-05T21:45:00+0100;34840.853;18961.262;15879.591;2025;12;5;4;339;4;49
2025-12-05T21:30:00+01:00;2025-12-05T21:30:00+0100;35565.964;19490.131;16075.833;2025;12;5;4;339;4;49
